Date,ATM 1,ATM 2,ATM 3,ATM (mean)
2018-01-01 00:00:00,110800000,88500000,44700000,81333333.33
2018-01-02 00:00:00,53400000,63800000,27400000,48200000
2018-01-03 00:00:00,92700000,54100000,29800000,58866666.67
2018-01-04 00:00:00,55200000,10500000,75300000,47000000
2018-01-05 00:00:00,37500000,200000,129300000,55666666.67
2018-01-06 00:00:00,98100000,62200000,26700000,62333333.33
2018-01-07 00:00:00,85900000,82300000,35400000,67866666.67
2018-01-08 00:00:00,102500000,90900000,33400000,75600000
2018-01-09 00:00:00,74600000,60700000,31700000,55666666.67
2018-01-10 00:00:00,74100000,14200000,46300000,44866666.67
2018-01-11 00:00:00,70700000,11100000,52800000,44866666.67
2018-01-12 00:00:00,43900000,1200000,123200000,56100000
2018-01-13 00:00:00,107100000,94600000,33700000,78466666.67
2018-01-14 00:00:00,109000000,62100000,37600000,69566666.67
2018-01-15 00:00:00,90400000,65600000,28300000,61433333.33
2018-01-16 00:00:00,79000000,60200000,44300000,61166666.67
2018-01-17 00:00:00,134800000,87800000,26000000,82866666.67
2018-01-18 00:00:00,106300000,13400000,64700000,61466666.67
2018-01-19 00:00:00,44600000,1900000,59100000,35200000
2018-01-20 00:00:00,100000000,87800000,36800000,74866666.67
2018-01-21 00:00:00,118700000,101700000,48400000,89600000
2018-01-22 00:00:00,120900000,127200000,33300000,93800000
2018-01-23 00:00:00,119100000,79300000,52200000,83533333.33
2018-01-24 00:00:00,111600000,86100000,59700000,85800000
2018-01-25 00:00:00,83700000,7900000,84800000,58800000
2018-01-26 00:00:00,43200000,56719354.84,158800000,86239784.95
2018-01-27 00:00:00,117900000,54500000,24700000,65700000
2018-01-28 00:00:00,100600000,23300000,19600000,47833333.33
2018-01-29 00:00:00,105900000,43000000,15300000,54733333.33
2018-01-30 00:00:00,115200000,53200000,12400000,60266666.67
2018-01-31 00:00:00,26100000,55600000,29800000,37166666.67
2018-02-01 00:00:00,70000000,14700000,47100000,43933333.33
2018-02-02 00:00:00,40000000,500000,92900000,44466666.67
2018-02-03 00:00:00,88900000,58400000,24100000,57133333.33
